UID,站名,可借
KHH501206016,YouBike2.0_鳳山運動公園,16
KHH501206017,YouBike2.0_國立鳳新高中(新富路),75
KHH501206018,YouBike2.0_保安濕地公園,6
KHH501206019,YouBike2.0_南和公園,12
KHH501206020,YouBike2.0_衛武營公園,12
KHH501206021,YouBike2.0_瑞隆東同明街口,8
KHH501206022,YouBike2.0_老爺公園,7
KHH501206023,YouBike2.0_五甲社區公園,5
KHH501206024,YouBike2.0_五甲社區公有停車場,8
KHH501206025,YouBike2.0_國光安寧街口,9
KHH501206026,YouBike2.0_安化門遺址,0
KHH501206027,YouBike2.0_黃埔公園,11
KHH501206028,YouBike2.0_瑞興兒童公園,0
KHH501206029,YouBike2.0_鳳陽社區,13
KHH501206030,YouBike2.0_光華安寧街口,11
KHH501206031,YouBike2.0_鳳西羽球館西北側,17
KHH501206032,YouBike2.0_捷運鳳山西站(2號出口),48
KHH501206033,YouBike2.0_和德街公園,12
KHH501206034,YouBike2.0_五甲國中,18
KHH501206035,YouBike2.0_南京南京路326巷口,12
KHH501206036,YouBike2.0_福誠國小,9
KHH501206037,YouBike2.0_五甲公園南側,12
KHH501206038,YouBike2.0_福誠高中,62
KHH501206039,YouBike2.0_自強南進三街口,7
KHH501206040,YouBike2.0_正義里活動中心,2
KHH501206041,YouBike2.0_瑞興國小(博愛路),2
KHH501206042,YouBike2.0_公二十七公園,5
KHH501206043,YouBike2.0_過勇頂庄路口,8
KHH501206044,YouBike2.0_文福兒童公園,5
KHH501206045,YouBike2.0_文德國小,0
KHH501206046,YouBike2.0_武松公園,4
KHH501206047,YouBike2.0_五甲南榮兒童公園,0
KHH501206048,YouBike2.0_南正兒童公園,0
KHH501206049,YouBike2.0_五甲國小,0
KHH501206050,YouBike2.0_五福公園,1
KHH501206051,YouBike2.0_鳳西運動公園(五權南路),55
KHH501206052,YouBike2.0_南和保安一街口,0
KHH501206053,YouBike2.0_富新國慶九街口,4
KHH501206054,YouBike2.0_鳳山區第二衛生所,8
KHH501206055,YouBike2.0_國泰青年路口,5
KHH501206056,YouBike2.0_頂庄頂明路口,7
KHH501206057,YouBike2.0_博愛公園,8
KHH501206058,YouBike2.0_忠孝國中(國興街),21
KHH501206059,YouBike2.0_老爺兒童公園,6
KHH501206060,YouBike2.0_新甲兒童公園,12
KHH501206061,YouBike2.0_二甲里活動中心,1
KHH501206062,YouBike2.0_北平力行路口,0
KHH501206063,YouBike2.0_捷運大東站(2號出口),16
KHH501206064,YouBike2.0_鳳凌廣場,3
KHH501206065,YouBike2.0_市議會(新址),26
KHH501206066,YouBike2.0_鳳山行政中心東側,57
KHH501206067,YouBike2.0_國立鳳新高中(新康街),38
KHH501206068,YouBike2.0_中山公園,18
KHH501206069,YouBike2.0_高雄監理所(武營),12
KHH501206070,YouBike2.0_新甲國小,23
KHH501206071,YouBike2.0_曹公圳公園,8
KHH501206072,YouBike2.0_鳳東公園,4
KHH501206073,YouBike2.0_武漢里活動中心,10
KHH501206074,YouBike2.0_海光兒童公園,1
KHH501206075,YouBike2.0_八仙公園,10
KHH501206076,YouBike2.0_鳳儀書院,0
KHH501206077,YouBike2.0_鳳山公園,6
KHH501206078,YouBike2.0_中崙國中,23
KHH501206079,YouBike2.0_牛潮埔公園,4
KHH501206080,YouBike2.0_五甲社區活動中心,5
KHH501206081,YouBike2.0_北昌北昌三街口,4
KHH501206082,YouBike2.0_新泰兒童公園,9
KHH501206083,YouBike2.0_中正預校,34
KHH501206084,YouBike2.0_過埤兒童公園,2
KHH501206085,YouBike2.0_中崙公園,6
KHH501206086,YouBike2.0_北辰兒童公園,1
KHH501206087,YouBike2.0_協和曹公路口,20
KHH501206088,YouBike2.0_鳳山工業區,1
KHH501206089,YouBike2.0_武慶武昌路口,12
KHH501206090,YouBike2.0_黃埔新村,6
KHH501206091,YouBike2.0_鳳山新城甲社區,6
KHH501206092,YouBike2.0_海風社區公園,8
KHH501206093,YouBike2.0_勝利建國路一段口,6
KHH501206094,YouBike2.0_誠體誠智街口,11
KHH501206095,YouBike2.0_公園二公園街口,4
KHH501206096,YouBike2.0_中山東路5巷口,8
KHH501206097,YouBike2.0_福安二街20巷39弄口,4
KHH501206098,YouBike2.0_和興里活動中心,10
KHH501206099,YouBike2.0_鳳山地政事務所(忠義街),16
KHH501206100,YouBike2.0_中崙國小,4
KHH501206101,YouBike2.0_NO.16藝術公園,0
KHH501206102,YouBike2.0_青年公園,11
KHH501206103,YouBike2.0_鳳翔國中,7
KHH501206104,YouBike2.0_保安二鳳燕一街口,6
KHH501206105,YouBike2.0_新強輜汽路口,12
KHH501206106,YouBike2.0_鳳頂過雄一街口,6
KHH501206107,YouBike2.0_五甲二路730巷口,7
KHH501206108,YouBike2.0_明鳳公園,4
KHH501206109,YouBike2.0_保泰保泰路370巷,2
KHH501206110,YouBike2.0_文教公園,12
KHH501206111,YouBike2.0_文華兒童公園,6
KHH501206112,YouBike2.0_埤頂鳳埤街口,3
KHH501206113,YouBike2.0_建國文英路口,9
KHH501206114,YouBike2.0_瑞光瑞興路口,9
KHH501206115,YouBike2.0_山仔頂溝滯洪池,1
KHH501206116,YouBike2.0_正義國小,4
KHH501206117,YouBike2.0_武林輜汽路口,13
KHH501206118,YouBike2.0_文山公兒三公園,5
KHH501206119,YouBike2.0_鳳山中正國小,13
KHH501206120,YouBike2.0_鳳山公28公園,0
KHH501206121,YouBike2.0_北鳳山區清潔隊,0
KHH501206122,YouBike2.0_青年光華路口,12
KHH501206123,YouBike2.0_鳳甲公兒二公園,6
KHH501206124,YouBike2.0_北門公園,1
KHH501206125,YouBike2.0_八德八德路二段142巷口,11
KHH501206126,YouBike2.0_八德路296巷文衡路口,6
KHH501206127,YouBike2.0_文勇八德路口,0
KHH501206128,YouBike2.0_公兒20公園,16
KHH501206129,YouBike2.0_環河鳳東七街106巷口,3
KHH501206130,YouBike2.0_五甲國中(龍成路),12
KHH501206131,YouBike2.0_六成保南一路口,8
KHH501206132,YouBike2.0_長樂和興街口,10
KHH501206133,YouBike2.0_鳳埤鳳埤街50巷口,4
KHH501206134,YouBike2.0_文福青年路口,19
KHH501206135,YouBike2.0_鳳松博愛路口,5
KHH501206136,YouBike2.0_台鐵鳳山車站(西側),12
KHH501206137,YouBike2.0_勝利工協街口,14
KHH501206138,YouBike2.0_五甲七老爺停車場,4
KHH501206139,YouBike2.0_鳳山高中(文建街),56
KHH501206140,YouBike2.0_海涵紅毛港路口,17
KHH501206141,YouBike2.0_捷運鳳山國中站(3號出口),22
KHH501206142,YouBike2.0_和德街公園(南側),4
KHH501206143,YouBike2.0_家和五偉成街口,2
KHH501206144,YouBike2.0_天天公園,6
KHH501206145,YouBike2.0_中和公園,9
KHH501206146,YouBike2.0_建國青年路口,0
KHH501206147,YouBike2.0_杭州公園,14
KHH501206148,YouBike2.0_環河鳳東三街口,9
KHH501206149,YouBike2.0_福誠一三誠路口,0
KHH501206150,YouBike2.0_富榮公園,8
KHH501206151,YouBike2.0_鳳山日照社福多功能中心,9
KHH501206152,YouBike2.0_警察局鳳山分局,10
KHH501206153,YouBike2.0_國隆國隆路15巷口,14
KHH501206154,YouBike2.0_環河中山東路380巷口,6
KHH501206155,YouBike2.0_保安兒童貨櫃主題公園,14
KHH501206156,YouBike2.0_鳳頂田中央路口,7
KHH501206157,YouBike2.0_維武東六巷口,8
KHH501206158,YouBike2.0_中崙一中崙路口,13
KHH501206159,YouBike2.0_國泰五權南路口,6
KHH501206160,YouBike2.0_南福公園,4
KHH501206161,YouBike2.0_河岸步道,6
KHH501206162,YouBike2.0_牛寮公園,7
KHH501206163,YouBike2.0_和成南一街口,1
KHH501206164,YouBike2.0_五甲公園(福誠三街),6
KHH501206165,YouBike2.0_河堤凱旋路口,23
KHH501206166,YouBike2.0_灣頭南巷公園,5
KHH501206167,YouBike2.0_赤山文衡殿,10
KHH501206168,YouBike2.0_鳳松路綠地,5
KHH501206169,YouBike2.0_建國三文昌街口,3
KHH501206170,YouBike2.0_鳳捷鳳東三街口,7
KHH501206171,YouBike2.0_南京新富路口,17
KHH501206173,YouBike2.0_紅毛港保安堂,8
KHH501206174,YouBike2.0_牛潮埔休閒公園,7
KHH501206175,YouBike2.0_林森天興街口,11
KHH501206176,YouBike2.0_建國文建街口,6
KHH501206177,YouBike2.0_黃埔新村(東四巷),15
KHH501206178,YouBike2.0_文山國小(鳳松路41巷),6
KHH501206179,YouBike2.0_文山國民小學(文和街),6
KHH501206180,YouBike2.0_鳳頂誠東街口(西南側),14
KHH501206181,YouBike2.0_鳳頂國泰路口,12
KHH501206182,YouBike2.0_文正文聖街口,17
KHH501206183,YouBike2.0_五甲公園(福誠五街),13
KHH501206184,YouBike2.0_南京南京路226巷口,4
KHH501206185,YouBike2.0_南正一南和街129巷口,13
KHH501206186,YouBike2.0_過埤國民小學,6
